Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,Pixel_9_Pro_XL
1,"Google Pixel 9 Pro XL 256GB Unlocked 6.8"" 5G Dual SIM Porcelain White GA05905-US",$729.99,2025-08-28,https://www.ebay.com/itm/196902509302,https://i.ebayimg.com/images/g/EBwAAOSw~qBnKVG8/s-l500.webp,256 GB,Unknown,False,Pixel 9 Pro XL,True
1,Good Google Pixel 9 Pro XL 256GB - Black Obsidian - Factory Unlocked + More,$629.99,2025-08-16,https://www.ebay.com/itm/326727143289,https://i.ebayimg.com/images/g/ttwAAeSwU1RomiSw/s-l500.webp,256 GB,Good,False,Pixel 9 Pro XL,True
1,Google Pixel 9 Pro XL GGX8B Unlocked 256GB Rose Quartz Very Good,$674.99,2025-08-21,https://www.ebay.com/itm/187486582681,https://i.ebayimg.com/images/g/VFgAAeSwHSJonKR-/s-l500.webp,256 GB,Very Good,False,Pixel 9 Pro XL,True
1,"Google Pixel 9 Pro XL 128GB Unlocked 6.8"" 5G Dual SIM Porcelain White GA05901-US",$594.99,2025-08-20,https://www.ebay.com/itm/205641729632,https://i.ebayimg.com/images/g/EBwAAOSw~qBnKVG8/s-l500.webp,128 GB,Unknown,False,Pixel 9 Pro XL,True
1,Google Pixel 9 Pro XL 1TB Obsidian Unlocked Very Good Condition,$869.99,2025-08-18,https://www.ebay.com/itm/277302581383,https://i.ebayimg.com/images/g/Np8AAeSwk0Zo1tU3/s-l500.webp,Unknown,Very Good,False,Pixel 9 Pro XL,True
1,Google Pixel 9 Pro XL 256GB (Unlocked) - Obsidian,$709.95,2025-08-17,https://www.ebay.com/itm/317181377739,https://i.ebayimg.com/images/g/qg0AAeSw1Ehon5Qe/s-l500.webp,256 GB,Unknown,False,Pixel 9 Pro XL,True
1,Google Pixel 9 Pro XL Duos - 256 GB - Hazel (Unlocked) GGX8B ~ Open Box!,$710.00,2025-08-14,https://www.ebay.com/itm/226917013656,https://i.ebayimg.com/images/g/CF8AAeSw2Jtom1v4/s-l500.webp,256 GB,Unknown,False,Pixel 9 Pro XL,True
1,Google Pixel 9 Pro XL - 256GB - Obsidian (Unlocked) GGX8B Good,$634.99,2025-08-13,https://www.ebay.com/itm/127277613967,https://i.ebayimg.com/images/g/7owAAeSwuohoie5g/s-l500.webp,256 GB,Good,False,Pixel 9 Pro XL,True
1,"Google Pixel 9 Pro XL 128GB Unlocked 6.8"" 5G Dual SIM Obsidian Black GA05900-US",$659.99,2025-08-12,https://www.ebay.com/itm/326327204864,https://i.ebayimg.com/images/g/dHkAAOSwKyFnI788/s-l500.webp,128 GB,Unknown,False,Pixel 9 Pro XL,True
1,Google Pixel 9 Pro XL Carrier Locked T-Mobile/ATT/Verizon ALL COLORS/MEMORY,$599.99,2025-08-12,https://www.ebay.com/itm/127234069086,https://i.ebayimg.com/images/g/9ZIAAOSwOC9n0LGR/s-l500.webp,Unknown,Unknown,False,Pixel 9 Pro XL,True
1,Excellent Google Pixel 9 Pro XL - 128 GB - Obsidian (Unlocked),$589.99,2025-07-25,https://www.ebay.com/itm/326703226234,https://i.ebayimg.com/images/g/KgAAAOSwZZ1oMNiz/s-l500.webp,128 GB,Excellent,False,Pixel 9 Pro XL,True
1,Google Pixel 9 Pro XL 128GB - White Porcelain - Factory Unlocked - Very Good,$599.99,2025-08-10,https://www.ebay.com/itm/205640403695,https://i.ebayimg.com/images/g/LY0AAOSwrEFoN0qh/s-l500.webp,128 GB,Very Good,False,Pixel 9 Pro XL,True
1,Google Pixel 9 Pro XL - 512 GB - Obsidian Black UNLOCKED - Very Good + More,$744.99,2025-07-30,https://www.ebay.com/itm/197576369158,https://i.ebayimg.com/images/g/6f4AAeSwABJoim1z/s-l500.webp,512 GB,Very Good,False,Pixel 9 Pro XL,True
1,Google Pixel 9 Pro XL - 512 GB - Hazel - Network UNLOCKED - Very Good + More,$744.99,2025-07-30,https://www.ebay.com/itm/205643769686,https://i.ebayimg.com/images/g/84IAAeSwAEJoim65/s-l500.webp,512 GB,Very Good,False,Pixel 9 Pro XL,True
1,Google Pixel 9 Pro XL 1TB Obsidian Unlocked Good Condition,$849.99,2025-08-10,https://www.ebay.com/itm/297527059714,https://i.ebayimg.com/images/g/4EAAAeSwihFo1tXK/s-l500.webp,Unknown,Good,False,Pixel 9 Pro XL,True
1,Google Pixel 9 Pro XL 256GB (Unlocked) - Obsidian,$669.95,2025-08-10,https://www.ebay.com/itm/365779484168,https://i.ebayimg.com/images/g/~hoAAeSwUshorXhe/s-l500.webp,256 GB,Unknown,False,Pixel 9 Pro XL,True
1,Google Pixel 9 Pro Xl Fully Unlocked 6.8in 256GB - Excellent,$703.00,2025-08-09,https://www.ebay.com/itm/167540034692,https://i.ebayimg.com/images/g/bdoAAeSweAVojNdZ/s-l500.webp,256 GB,Excellent,False,Pixel 9 Pro XL,True
1,Google Pixel 9 Pro XL 256GB (Unlocked) - Rose Quartz,$699.95,2025-08-07,https://www.ebay.com/itm/365777725628,https://i.ebayimg.com/images/g/chEAAeSwEatokPWk/s-l500.webp,256 GB,Unknown,False,Pixel 9 Pro XL,True
