Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,iPhone_15_Pro
1,Apple iPhone 15 Pro 128GB A2848 5G Unlocked - Excellent,$619.99,2025-03-31,https://www.ebay.com/itm/276359304921,https://i.ebayimg.com/images/g/QF8AAOSw~oJngW3b/s-l500.webp,128 GB,Excellent,False,iPhone 15 Pro,True
1,Apple iPhone 15 Pro A2848 Unlocked 128GB White Titanium Excellent,$619.99,2025-04-02,https://www.ebay.com/itm/176710459276,https://i.ebayimg.com/images/g/sUgAAOSwYhRnSf~t/s-l500.webp,128 GB,Excellent,False,iPhone 15 Pro,True
1,Apple iPhone 15 PRO - 128GB - Factory Unlocked - Black - EXCELLENT Condition!,$634.99,2025-03-31,https://www.ebay.com/itm/267203196120,https://i.ebayimg.com/images/g/~QEAAOSwvhNn5vww/s-l500.webp,128 GB,Unknown,False,iPhone 15 Pro,True
1,Apple iPhone 15 Pro Smartphone 512GB Fully Unlocked Excellent,$739.00,2025-09-27,https://www.ebay.com/itm/226706520618,https://i.ebayimg.com/images/g/y0oAAeSwQ8xn~-D5/s-l500.webp,512 GB,Excellent,False,iPhone 15 Pro,True
1,Apple iPhone 15 Pro A2848 128GB Unlocked Very Good Condition,$592.00,2025-09-26,https://www.ebay.com/itm/226573862960,https://i.ebayimg.com/images/g/Q8YAAOSwNsVnm~zz/s-l500.webp,128 GB,Very Good,False,iPhone 15 Pro,True
1,Apple iPhone 15 Pro - 256GB - Unlocked - Natural Titanium - Excellent,$655.00,2025-09-26,https://www.ebay.com/itm/276272704640,https://i.ebayimg.com/images/g/mJIAAOSwLdRlnB6u/s-l500.webp,256 GB,Excellent,False,iPhone 15 Pro,True
1,Apple iPhone 15 Pro 256GB - Blue Titanium (Unlocked) (eSIM only) A2848 Excellent,$604.95,2025-09-25,https://www.ebay.com/itm/146070651052,https://i.ebayimg.com/images/g/5r0AAOSwLs5m~CDo/s-l500.webp,256 GB,Excellent,False,iPhone 15 Pro,True
1,Apple iPhone 15 Pro 128GB (Unlocked) US E-Sim Version - Good,$587.99,2025-09-24,https://www.ebay.com/itm/186408324191,https://i.ebayimg.com/images/g/b8QAAOSwsndl2OuI/s-l500.webp,128 GB,Good,False,iPhone 15 Pro,True
1,Apple iPhone 15 Pro - 512 GB - Blue Titanium - Unlocked - Excellent Refurbished,$604.99,2025-09-24,https://www.ebay.com/itm/127112091742,https://i.ebayimg.com/images/g/LjYAAOSwU61oJNm5/s-l500.webp,512 GB,Excellent,False,iPhone 15 Pro,True
1,Apple iPhone 15 Pro Smartphone 256GB Fully Unlocked Very Good,$679.00,2025-09-24,https://www.ebay.com/itm/226573878335,https://i.ebayimg.com/images/g/I60AAeSw91xnm~zL/s-l500.webp,256 GB,Very Good,False,iPhone 15 Pro,True
1,"Apple iPhone 15 Pro 6.1"" Unlocked 128GB - (Black Titanium) A2848 w/Warranty",$589.45,2025-09-23,https://www.ebay.com/itm/356838203459,https://i.ebayimg.com/images/g/ofQAAOSwM95n~rpq/s-l500.webp,128 GB,Unknown,False,iPhone 15 Pro,True
1,"Apple iPhone 15 Pro 6.1"" Unlocked 256GB - (Blue Titanium) A2848 w/Warranty",$600.67,2025-09-23,https://www.ebay.com/itm/356852113226,https://i.ebayimg.com/images/g/CC4AAOSwReBoFRSZ/s-l500.webp,256 GB,Unknown,False,iPhone 15 Pro,True
1,Apple iPhone 15 Pro 5G 128GB 256GB 512GB Fully Unlocked *NO FACE ID* Grade B+,$475.99,2025-09-23,https://www.ebay.com/itm/286798701917,https://i.ebayimg.com/images/g/aBQAAOSwAJll8amj/s-l500.webp,128 GB,Unknown,False,iPhone 15 Pro,True
1,Apple iPhone 15 Pro - 256GB - Black Titanium (Unlocked) - 90%+ Battery Excellent,$798.75,2025-09-23,https://www.ebay.com/itm/336008371861,https://i.ebayimg.com/images/g/KNkAAOSwZIJnfjKj/s-l500.webp,256 GB,Excellent,False,iPhone 15 Pro,True
1,Apple iPhone 15 Pro A2848 128GB Unlocked Good Condition,$724.66,2025-09-23,https://www.ebay.com/itm/388124385565,https://i.ebayimg.com/images/g/o6oAAeSwBhJows8o/s-l500.webp,128 GB,Good,False,iPhone 15 Pro,True
1,Apple iPhone 15 Pro 128GB Unlocked eSim Only A2848 Black Titanium Excellent,$624.95,2025-09-23,https://www.ebay.com/itm/405768178656,https://i.ebayimg.com/images/g/Rg8AAOSw9q9n~hwr/s-l500.webp,128 GB,Excellent,False,iPhone 15 Pro,True
