Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,iPhone_16_Pro_Max
1,Apple iPhone 16 Pro Max - Unlocked - Natural Titanium - 512GB - Excellent,"$1,009.00",2025-09-28,https://www.ebay.com/itm/276719194883,https://i.ebayimg.com/images/g/TZIAAOSwZQBm-t5t/s-l500.webp,512 GB,Excellent,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max 512GB Factory Unlocked ATT TMobile Verizon - Excellent,"$1,049.48",2025-09-27,https://www.ebay.com/itm/127398206754,https://i.ebayimg.com/images/g/wGAAAeSwRkRoztgO/s-l500.webp,512 GB,Excellent,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max - 256GB - White Titanium (Unlocked)- Very Good Condition,$939.99,2025-09-27,https://www.ebay.com/itm/306513321900,https://i.ebayimg.com/images/g/lVQAAeSw4o1ozC3w/s-l500.webp,256 GB,Very Good,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max - Unlocked - Black Titanium - 512GB - Excellent,"$1,009.00",2025-09-21,https://www.ebay.com/itm/276767242549,https://i.ebayimg.com/images/g/UaAAAOSw3rhm-t85/s-l500.webp,512 GB,Excellent,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max - Unlocked - White Titanium - 256GB - Good,$862.00,2025-09-17,https://www.ebay.com/itm/286251035186,https://i.ebayimg.com/images/g/7XYAAOSwPXNnLmrs/s-l500.webp,256 GB,Good,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max Black Titanium 256GB Unlocked - Very Good,$889.90,2025-09-16,https://www.ebay.com/itm/286773693334,https://i.ebayimg.com/images/g/MV8AAeSw9RFopHeM/s-l500.webp,256 GB,Very Good,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max - 1TB - Desert Titanium (Unlocked) - Good Condition,"$1,149.99",2025-09-16,https://www.ebay.com/itm/306444595655,https://i.ebayimg.com/images/g/rVYAAOSwyhZoCOh~/s-l500.webp,Unknown,Good,False,iPhone 16 Pro Max,True
2,Apple iPhone 16 Pro Max A3084 Unlocked 256GB White Titanium - Very Good,"$1,199.00",2025-09-13,https://www.ebay.com/itm/226786195341,https://i.ebayimg.com/images/g/-IMAAeSwsCpotzcX/s-l500.webp,256 GB,Very Good,False,iPhone 16 Pro Max,True
2,Apple iPhone 16 Pro Max 256GB Unlocked - Excellent,$909.95,2025-09-10,https://www.ebay.com/itm/365653724913,https://i.ebayimg.com/images/g/PbYAAOSwbzZoQuUc/s-l500.webp,256 GB,Excellent,False,iPhone 16 Pro Max,True
2,Apple iPhone 16 Pro Max 256GB Unlocked AT&T T-Mobile Verizon Good Condition,$843.95,2025-09-10,https://www.ebay.com/itm/297145720467,https://i.ebayimg.com/images/g/bEAAAOSwfx1n4cDl/s-l500.webp,256 GB,Good,False,iPhone 16 Pro Max,True
2,Apple iPhone 16 Pro Max 512GB Black Excellent Condition,"$1,169.72",2025-08-04,https://www.ebay.com/itm/357313012627,https://i.ebayimg.com/images/g/Jc4AAeSwG3Boe1pQ/s-l500.webp,512 GB,Excellent,False,iPhone 16 Pro Max,True
2,Apple iPhone 16 Pro Max A3084 Unlocked 512GB Black Titanium - Very Good,"$1,289.00",2025-09-05,https://www.ebay.com/itm/226794605044,https://i.ebayimg.com/images/g/9zQAAeSwzmBowJQq/s-l500.webp,512 GB,Very Good,False,iPhone 16 Pro Max,True
2,Apple iPhone 16 Pro Max 256GB 512GB 1TB Unlocked Smartphone - Good,"$1,044.99",2025-09-04,https://www.ebay.com/itm/157113621696,https://i.ebayimg.com/images/g/tzMAAOSwUIBoNhJR/s-l500.webp,256 GB,Good,False,iPhone 16 Pro Max,True
2,Apple iPhone 16 Pro Max Fully Unlocked 6.9in 256GB - Excellent,"$1,075.00",2025-09-03,https://www.ebay.com/itm/167477310877,https://i.ebayimg.com/images/g/jUAAAOSwfd9oOcQP/s-l500.webp,256 GB,Excellent,False,iPhone 16 Pro Max,True
2,Apple iPhone 16 Pro Max 256GB 512GB 1TB Unlocked Smartphone - Very Good,"$1,079.99",2025-09-03,https://www.ebay.com/itm/157291584655,https://i.ebayimg.com/images/g/tzMAAOSwUIBoNhJR/s-l500.webp,256 GB,Very Good,False,iPhone 16 Pro Max,True
2,Apple iPhone 16 Pro Max 512GB Natural Very Good Condition,"$1,068.36",2025-09-01,https://www.ebay.com/itm/357312954095,https://i.ebayimg.com/images/g/5qkAAeSwNJVofywU/s-l500.webp,512 GB,Very Good,False,iPhone 16 Pro Max,True
2,Apple iPhone 16 Pro Max 512GB Gold Very Good Condition,"$1,097.30",2025-08-23,https://www.ebay.com/itm/357312981938,https://i.ebayimg.com/images/g/zJkAAeSwPhNofyxR/s-l500.webp,512 GB,Very Good,False,iPhone 16 Pro Max,True
2,Apple iPhone 16 Pro Max 512GB Black Very Good Condition,"$1,068.36",2025-09-01,https://www.ebay.com/itm/357313006604,https://i.ebayimg.com/images/g/x6sAAeSwRg1ofyvL/s-l500.webp,512 GB,Very Good,False,iPhone 16 Pro Max,True
2,Apple iPhone 16 Pro Max - 512GB - Desert Titanium (Unlocked) (eSIM Only) Perfect,$999.95,2025-09-02,https://www.ebay.com/itm/146768832191,https://i.ebayimg.com/images/g/R7wAAeSwK51om3Cu/s-l500.webp,512 GB,Unknown,False,iPhone 16 Pro Max,True
2,Apple iPhone 16 Pro Max 256GB Black Titanium (Unlocked / A3084),$969.00,2025-09-01,https://www.ebay.com/itm/146804032969,https://i.ebayimg.com/images/g/4e0AAOSwO6FnUevF/s-l500.webp,256 GB,Unknown,False,iPhone 16 Pro Max,True
2,Apple iPhone 16 Pro Max A3084 Unlocked 256GB Desert Titanium Good,$917.99,2025-08-27,https://www.ebay.com/itm/196787057275,https://i.ebayimg.com/images/g/NEEAAOSwgoVnK~SM/s-l500.webp,256 GB,Good,False,iPhone 16 Pro Max,True
