Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,Galaxy_S24
1,Samsung Galaxy S24 FE SM-S721U1  128GB 5G Graphite Unlocked #L718,$264.00,2025-10-26,https://www.ebay.com/itm/116840125965,https://i.ebayimg.com/images/g/6oYAAeSw6Y9o-Pcs/s-l500.webp,128 GB,Unknown,False,Galaxy S24,True
1,Samsung Galaxy S24+ PLUS SM-S926U1  256GB 5G Black Unlocked #L695,$384.00,2025-10-26,https://www.ebay.com/itm/116840128273,https://i.ebayimg.com/images/g/n-8AAeSwZcpo-PgZ/s-l500.webp,256 GB,Unknown,False,Galaxy S24,True
1,REFURBISHED Samsung Galaxy S24 FE SM-S721U1 128GB 5G Graphite Unlocked GSM CDMA,$319.00,2025-10-26,https://www.ebay.com/itm/116710046439,https://i.ebayimg.com/images/g/q8cAAeSwYAdoiAvJ/s-l500.webp,128 GB,Unknown,False,Galaxy S24,True
1,Samsung Galaxy S24 128GB Amber Yellow Unlocked Excellent Condition,$359.99,2025-10-26,https://www.ebay.com/itm/277309357790,https://i.ebayimg.com/images/g/1AIAAeSwPDxo-UN-/s-l500.webp,128 GB,Excellent,False,Galaxy S24,True
1,Samsung Galaxy S24 FE SM-S721U Unlocked 128GB Graphite Good,$271.99,2025-10-26,https://www.ebay.com/itm/176956192436,https://i.ebayimg.com/images/g/c2EAAeSwJGZn5Hkb/s-l500.webp,128 GB,Good,False,Galaxy S24,True
1,Samsung Galaxy S24+ SM-S926U1 Unlocked 512GB Cobalt Violet Excellent,$538.34,2025-04-29,https://www.ebay.com/itm/187082219706,https://i.ebayimg.com/images/g/24wAAeSwee9n5IMl/s-l500.webp,512 GB,Excellent,False,Galaxy S24,True
1,Samsung Galaxy S24 128GB S921U Unlocked - Good,$298.99,2025-10-26,https://www.ebay.com/itm/256763827585,https://i.ebayimg.com/images/g/dakAAeSwiqtoMI1w/s-l500.webp,128 GB,Good,False,Galaxy S24,True
1,Samsung Galaxy S24 256GB Sandstone Orange Unlocked Excellent Condition,$479.99,2025-10-26,https://www.ebay.com/itm/297655991506,https://i.ebayimg.com/images/g/Vi0AAeSwL8ho-UKL/s-l500.webp,256 GB,Excellent,False,Galaxy S24,True
1,(UNLOCKED) Latest 2024 Samsung Galaxy S24 FE S721U 128GB All Colors -VERY GOOD,$338.99,2025-10-26,https://www.ebay.com/itm/146345456765,https://i.ebayimg.com/images/g/ItcAAOSwZAtnD4O7/s-l500.webp,128 GB,Very Good,False,Galaxy S24,True
1,Samsung Galaxy S24+ (Plus) SM-S926W 256GB Cobalt Violet Unlocked 1 YEAR WARRANTY,$537.07,2025-10-26,https://www.ebay.com/itm/177496095252,https://i.ebayimg.com/images/g/Pf8AAeSwk0Zo8QDB/s-l500.webp,256 GB,Unknown,False,Galaxy S24,True
1,"SAMSUNG Galaxy S24+ Plus 5G (512GB, 12GB) 6.7"" Fully Unlocked US & Global S926U",$579.99,2025-10-26,https://www.ebay.com/itm/157381027096,https://i.ebayimg.com/images/g/GpoAAeSwihFo6W~b/s-l500.webp,512 GB,Unknown,False,Galaxy S24,True
1,Samsung Galaxy S24 SM-S921U Unlocked 128GB Onyx Black Good,$319.99,2025-10-26,https://www.ebay.com/itm/176516208429,https://i.ebayimg.com/images/g/WREAAOSw~U9mtvgY/s-l500.webp,128 GB,Good,False,Galaxy S24,True
1,Samsung Galaxy S24 S921U S921U1 128GB Smartphone Unlocked Excellent Refurbished,$393.99,2025-10-26,https://www.ebay.com/itm/205318482138,https://i.ebayimg.com/images/g/Sp4AAOSwCXBnv4gg/s-l500.webp,128 GB,Excellent,False,Galaxy S24,True
1,Samsung Galaxy S24 FE SM-S721U1  128GB 5G Graphite Unlocked #L450,$249.00,2025-10-25,https://www.ebay.com/itm/116826383462,https://i.ebayimg.com/images/g/ysIAAeSwQq1o7XMa/s-l500.webp,128 GB,Unknown,False,Galaxy S24,True
1,Samsung Galaxy S24 SM-S921U1  128GB  Gray FACTORY Unlocked 5G  #L666,$294.00,2025-10-25,https://www.ebay.com/itm/127446824675,https://i.ebayimg.com/images/g/3VoAAeSwdndo-Rnu/s-l500.webp,128 GB,Unknown,False,Galaxy S24,True
1,Samsung Galaxy S24+ (Plus) SM-S926W 256GB Cobalt Violet Unlocked 1 YEAR WARRANTY,$501.22,2025-10-25,https://www.ebay.com/itm/177496086117,https://i.ebayimg.com/images/g/Pf8AAeSwk0Zo8QDB/s-l500.webp,256 GB,Unknown,False,Galaxy S24,True
1,Samsung Galaxy S24 5G S921U Unlocked (Any Carrier) 128GB 256GB Very Good,$359.99,2025-10-25,https://www.ebay.com/itm/205117953870,https://i.ebayimg.com/images/g/C1cAAOSwMglmo~9C/s-l500.webp,128 GB,Very Good,False,Galaxy S24,True
1,Samsung Galaxy S24+ Plus 256GB Unlocked ATT T-Mobile Verizon Very Good Condition,$401.95,2025-10-25,https://www.ebay.com/itm/297145720532,https://i.ebayimg.com/images/g/XGsAAOSwGopn4cEO/s-l500.webp,256 GB,Very Good,False,Galaxy S24,True
1,Samsung Galaxy S24+ Plus 5G S926U Unlocked (Any Carrier) SmartPhone Good,$389.99,2025-10-25,https://www.ebay.com/itm/356260545928,https://i.ebayimg.com/images/g/piQAAOSwlyxmpAS4/s-l500.webp,Unknown,Good,False,Galaxy S24,True
1,Samsung Galaxy S24 (5G) - 128GB Onyx Black *UNLOCKED* [SM-S921U] Very Good,$332.99,2025-10-25,https://www.ebay.com/itm/145894304927,https://i.ebayimg.com/images/g/5uYAAOSw~-dmlqxC/s-l500.webp,128 GB,Very Good,False,Galaxy S24,True
1,Samsung Galaxy S24 SM-S921U1 5G 256GB Black (FACTORY Unlocked) #L444,$369.00,2025-10-25,https://www.ebay.com/itm/116826379179,https://i.ebayimg.com/images/g/yyMAAeSww11o7XFz/s-l500.webp,256 GB,Unknown,False,Galaxy S24,True
1,Samsung Galaxy S24 128GB Unlocked AT&T T-Mobile Verizon Very Good Condition,$316.95,2025-10-25,https://www.ebay.com/itm/306212964996,https://i.ebayimg.com/images/g/oEYAAOSwujFn7pFF/s-l500.webp,128 GB,Very Good,False,Galaxy S24,True
1,Samsung Galaxy S24 FE  256GB SM-S721U1 Graphite (Unlocked) 5G,$418.00,2025-10-25,https://www.ebay.com/itm/146726472367,https://i.ebayimg.com/images/g/vjIAAeSwAvRogRfm/s-l500.webp,256 GB,Unknown,False,Galaxy S24,True
1,Samsung Galaxy S24 FE 128GB in Graphite Unlocked Smartphone,$298.00,2025-10-25,https://www.ebay.com/itm/116657267762,https://i.ebayimg.com/images/g/ZKUAAeSw1aFo-5UE/s-l500.webp,128 GB,Unknown,False,Galaxy S24,True
1,Samsung Galaxy S24 FE SM-S721U1  128GB 5G Graphite Unlocked #L640,$269.00,2025-10-24,https://www.ebay.com/itm/146913256619,https://i.ebayimg.com/images/g/MpkAAeSwd5No-Sok/s-l500.webp,128 GB,Unknown,False,Galaxy S24,True
1,Samsung Galaxy S24 FE SM-S721U1  256GB 5G Graphite Unlocked #L638,$369.00,2025-10-24,https://www.ebay.com/itm/146913277292,https://i.ebayimg.com/images/g/XXgAAeSwAEFo-S2S/s-l500.webp,256 GB,Unknown,False,Galaxy S24,True
1,"Samsung Galaxy S24 FE 5G (128GB, 8GB) 6.7"" Fully Unlocked US & Global S721U1",$319.99,2025-09-20,https://www.ebay.com/itm/156606235384,https://i.ebayimg.com/images/g/84gAAeSwinxozjnI/s-l500.webp,128 GB,Unknown,False,Galaxy S24,True
1,Samsung Galaxy S24 (5G) - 128GB Onyx Black *UNLOCKED* Excellent [SM-S921U],$358.99,2025-10-24,https://www.ebay.com/itm/145894284259,https://i.ebayimg.com/images/g/5uYAAOSw~-dmlqxC/s-l500.webp,128 GB,Excellent,False,Galaxy S24,True
1,Samsung Galaxy S24 128GB (Unlocked) - Onyx Black,$323.98,2025-10-24,https://www.ebay.com/itm/317458928184,https://i.ebayimg.com/images/g/SbIAAeSwHzdo--S-/s-l500.webp,128 GB,Unknown,False,Galaxy S24,True
1,Samsung Galaxy S24+ PLUS SM-S926U1  256GB 5G GRAY FACTORY Unlocked,$459.00,2025-10-24,https://www.ebay.com/itm/146627183748,https://i.ebayimg.com/images/g/biUAAOSwijFoQL6v/s-l500.webp,256 GB,Unknown,False,Galaxy S24,True
