Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,Pixel_9_Pro
1,Google Pixel 9 Pro Fold - Unlocked - Obsidian - 256GB - Good,$746.00,2025-09-28,https://www.ebay.com/itm/276964618699,https://i.ebayimg.com/images/g/29oAAOSwo4Fnh9N~/s-l140.webp,256 GB,Good,False,Pixel 9 Pro,True
1,Google Pixel 9 Pro - Unlocked - Hazel - 256GB - Good,$619.00,2025-03-29,https://www.ebay.com/itm/276986593723,https://i.ebayimg.com/images/g/xOoAAOSwlvFngUsD/s-l140.webp,256 GB,Good,False,Pixel 9 Pro,True
1,"Google Pixel 9 Pro Fold 256GB Unlocked Obsidian Black 48MP 6.3"" 2024 WiFi",$899.99,2025-08-13,https://www.ebay.com/itm/196989316189,https://i.ebayimg.com/images/g/HvwAAOSw9x9nP4bZ/s-l140.webp,256 GB,Unknown,False,Pixel 9 Pro,True
1,"Google Pixel 9 Pro Fold 256GB Unlocked Obsidian Black 48MP 6.3"" 2024 WiFi",$829.99,2025-09-17,https://www.ebay.com/itm/326465665697,https://i.ebayimg.com/images/g/HvwAAOSw9x9nP4bZ/s-l140.webp,256 GB,Unknown,False,Pixel 9 Pro,True
1,"Google Pixel 9 Pro Unlocked 128GB 6.3"" 5G Dual SIM Obsidian Black GA05925-US",$614.99,2025-09-04,https://www.ebay.com/itm/205426776643,https://i.ebayimg.com/images/g/qwYAAOSwBB9nI79a/s-l140.webp,128 GB,Unknown,False,Pixel 9 Pro,True
1,Google Pixel 9 Pro GR83Y Unlocked 128GB Obsidian Very Good,$559.99,2025-09-26,https://www.ebay.com/itm/176751032025,https://i.ebayimg.com/images/g/cqkAAOSwgytnZ0Kz/s-l140.webp,128 GB,Very Good,False,Pixel 9 Pro,True
1,Google Pixel 9 Pro 256GB Rose Quartz Unlocked Very Good Condition,$679.99,2025-09-26,https://www.ebay.com/itm/297300086057,https://i.ebayimg.com/images/g/6EoAAeSwtdJo3BgK/s-l140.webp,256 GB,Very Good,False,Pixel 9 Pro,True
1,"Google Pixel 9 Pro Unlocked 256GB 6.3"" 5G Dual SIM Obsidian Black GA05945-US",$679.99,2025-09-23,https://www.ebay.com/itm/205108496321,https://i.ebayimg.com/images/g/qwYAAOSwBB9nI79a/s-l140.webp,256 GB,Unknown,False,Pixel 9 Pro,True
1,Google Pixel 9 Pro 512GB Obsidian Unlocked Excellent Condition,$809.99,2025-09-21,https://www.ebay.com/itm/286710691605,https://i.ebayimg.com/images/g/FJQAAeSwJD5o-SKI/s-l140.webp,512 GB,Excellent,False,Pixel 9 Pro,True
1,Google Pixel 9 Pro Fold - 256GB - Obsidian (Unlocked) GGH2X Very Good,$789.99,2025-09-20,https://www.ebay.com/itm/406205582555,https://i.ebayimg.com/images/g/TFYAAeSwj39owvW2/s-l140.webp,256 GB,Very Good,False,Pixel 9 Pro,True
1,Google Pixel 9 Pro 256gb Rose Quartz GR83Y (Unlocked) EXCELLENT,$724.45,2025-09-18,https://www.ebay.com/itm/286827908715,https://i.ebayimg.com/images/g/zpoAAeSwOS5ozHW7/s-l140.webp,256 GB,Unknown,False,Pixel 9 Pro,True
