Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,Galaxy_S22,Galaxy_S23,Galaxy_S24,Galaxy_S25,year,Month,Price_num,Galaxy_S22Plus,Galaxy_S23Plus,Galaxy_S24Plus,Galaxy_S25Plus,Galaxy_S22_Ultra,Galaxy_S23_Ultra,Galaxy_S24_Ultra,Galaxy_S25_Ultra
2,Samsung Galaxy S22 5G SM-S901U1F 128GB 256GB Factory Unlocked Very Good,$164.99,2025-10-15,https://www.ebay.com/itm/204721985907,https://i.ebayimg.com/images/g/9eoAAOSwBFJjPcD9/s-l500.webp,128 GB,Very Good,False,Galaxy S22,True,,,,2025.0,10.0,164.99,,,,,,,,
2,Samsung Galaxy S22 256GB Unlocked AT&T T-Mobile Verizon Very Good Condition,$190.95,2025-10-15,https://www.ebay.com/itm/297145899564,https://i.ebayimg.com/images/g/SjcAAOSwFOdn4dQX/s-l500.webp,256 GB,Very Good,False,Galaxy S22,True,,,,2025.0,10.0,190.95,,,,,,,,
2,"Samsung Galaxy S22 (5G) SM-S901U 128GB GSM/CDMA FACTORY UNLOCKED ""Very Good""",$204.88,2025-10-15,https://www.ebay.com/itm/296200318366,https://i.ebayimg.com/images/g/SpAAAOSw~MFlu~8F/s-l500.webp,128 GB,Very Good,False,Galaxy S22,True,,,,2025.0,10.0,204.88,,,,,,,,
2,Fully Unlocked Samsung Galaxy S22 5G 128GB SM-S901U  All Colors - VERY GOOD,$191.99,2025-10-15,https://www.ebay.com/itm/145656047561,https://i.ebayimg.com/images/g/D5cAAOSwdHljbv14/s-l500.webp,128 GB,Very Good,False,Galaxy S22,True,,,,2025.0,10.0,191.99,,,,,,,,
2,Samsung Galaxy S22 128GB (SM-S901U1) Unlocked- Excellent Refurbished,$134.99,2025-10-14,https://www.ebay.com/itm/226823933860,https://i.ebayimg.com/images/g/9EMAAOSwrBloVFTb/s-l500.webp,128 GB,Excellent,False,Galaxy S22,True,,,,2025.0,10.0,134.99,,,,,,,,
2,Samsung Galaxy S22 128GB Factory Unlocked AT&T T-Mobile Verizon Good Condition,$153.95,2025-10-14,https://www.ebay.com/itm/297145899936,https://i.ebayimg.com/images/g/2TAAAOSwMNpn4dRD/s-l500.webp,128 GB,Good,False,Galaxy S22,True,,,,2025.0,10.0,153.95,,,,,,,,
2,Samsung Galaxy S22 5G SM-S901U1 256GB Unlocked AT&T T-Mobile Excellent Refurbish,$210.99,2025-10-13,https://www.ebay.com/itm/186401511911,https://i.ebayimg.com/images/g/9eoAAOSwBFJjPcD9/s-l500.webp,256 GB,Excellent,False,Galaxy S22,True,,,,2025.0,10.0,210.99,,,,,,,,
2,Samsung Galaxy S22 5G SM-S901U - 128GB - Black (Unlocked) - Very Good Condition,$213.39,2025-03-20,https://www.ebay.com/itm/305973041106,https://i.ebayimg.com/images/g/cgIAAOSwIdJli951/s-l500.webp,128 GB,Very Good,False,Galaxy S22,True,,,,2025.0,3.0,213.39,,,,,,,,
2,Samsung Galaxy S22 5G 256GB Phantom White Unlocked Good Condition,$189.99,2025-10-13,https://www.ebay.com/itm/286869600386,https://i.ebayimg.com/images/g/8kUAAeSwtMZo-FOG/s-l500.webp,256 GB,Good,False,Galaxy S22,True,,,,2025.0,10.0,189.99,,,,,,,,
2,Samsung Galaxy S22 SM-S901U 256GB Green UNLOCKED Very Good Refurbished,$191.99,2025-10-12,https://www.ebay.com/itm/144990845047,https://i.ebayimg.com/images/g/DbcAAOSwDHxj77aN/s-l500.webp,256 GB,Very Good,False,Galaxy S22,True,,,,2025.0,10.0,191.99,,,,,,,,
2,Samsung Galaxy S22 - 128GB - Black - Fully Unlocked 5G - Good,$159.99,2025-10-12,https://www.ebay.com/itm/257044450959,https://i.ebayimg.com/images/g/9EcAAOSwmnNnLBGd/s-l500.webp,128 GB,Good,False,Galaxy S22,True,,,,2025.0,10.0,159.99,,,,,,,,
2,Samsung Galaxy S22 5G - 128GB Bora Purple *UNLOCKED* [SM-S901U] Excellent Refurb,$181.99,2025-10-12,https://www.ebay.com/itm/145972343959,https://i.ebayimg.com/images/g/fuUAAOSwV~NkKvI1/s-l500.webp,128 GB,Excellent,False,Galaxy S22,True,,,,2025.0,10.0,181.99,,,,,,,,
2,Samsung Galaxy S22 Gold 128GB Good - Refurbished  - Unlocked,$152.99,2025-10-12,https://www.ebay.com/itm/127244140495,https://i.ebayimg.com/images/g/SxMAAeSwK39o9Sz-/s-l500.webp,128 GB,Good,False,Galaxy S22,True,,,,2025.0,10.0,152.99,,,,,,,,
2,"SAMSUNG Galaxy S22 5G (256GB, 8GB) 6.1"" Fully Unlocked (GSM+Verizon) S901U1",$219.99,2023-03-28,https://www.ebay.com/itm/134489605154,https://i.ebayimg.com/images/g/gRgAAeSwjIZo17dW/s-l500.webp,256 GB,Unknown,False,Galaxy S22,True,,,,2023.0,3.0,219.99,,,,,,,,
2,"SAMSUNG Galaxy S22 5G (256GB, 8GB) 6.1"" Factory Unlocked (GSM + Verizon) S901U1",$187.99,2025-07-19,https://www.ebay.com/itm/135788770208,https://i.ebayimg.com/images/g/FMMAAeSw3YdotgAJ/s-l500.webp,256 GB,Unknown,False,Galaxy S22,True,,,,2025.0,7.0,187.99,,,,,,,,
2,Samsung Galaxy S22 256GB Unlocked AT&T T-Mobile Verizon Excellent Condition,$214.95,2025-10-10,https://www.ebay.com/itm/306199695076,https://i.ebayimg.com/images/g/0~0AAOSwG25n4dSg/s-l500.webp,256 GB,Excellent,False,Galaxy S22,True,,,,2025.0,10.0,214.95,,,,,,,,
2,Samsung Galaxy S22 5G SM-S901U 128GB - Black (Unlocked) Smartphone - Good,$165.00,2025-10-10,https://www.ebay.com/itm/335669421723,https://i.ebayimg.com/images/g/8-sAAOSwWYVlai-6/s-l500.webp,128 GB,Good,False,Galaxy S22,True,,,,2025.0,10.0,165.0,,,,,,,,
