Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,iPhone_12_Pro,iPhone_13_Pro,iPhone_14_Pro,iPhone_15_Pro,iPhone_16_Pro,iPhone_17_Pro
3,Apple iPhone 12 Pro - 512GB - Unlocked - VERY GOOD Condition!!!,$293.99,2025-09-18,https://www.ebay.com/itm/326545469557,https://i.ebayimg.com/images/g/8jAAAOSwtPxnW5F4/s-l500.webp,512 GB,Unknown,False,iPhone 12 Pro,True,,,,,
3,Apple iPhone 12 Pro 256GB - Fully Unlocked - VERY GOOD - *NO FACE ID*,$249.99,2025-09-17,https://www.ebay.com/itm/226977703748,https://i.ebayimg.com/images/g/8jAAAOSwtPxnW5F4/s-l500.webp,256 GB,Unknown,False,iPhone 12 Pro,True,,,,,
3,Apple iPhone 12 Pro Blue 128GB Very Good - Refurbished  - Unlocked,$270.99,2025-08-12,https://www.ebay.com/itm/127187183901,https://i.ebayimg.com/images/g/jJEAAeSwQM1ow2xb/s-l500.webp,128 GB,Very Good,False,iPhone 12 Pro,True,,,,,
3,Apple iPhone 12 Pro Graphite 256GB Excellent - Refurbished  - Unlocked,$309.99,2025-07-25,https://www.ebay.com/itm/127187182941,https://i.ebayimg.com/images/g/XP8AAeSwlItog5KJ/s-l500.webp,256 GB,Excellent,False,iPhone 12 Pro,True,,,,,
3,Apple iPhone 12 Pro 256GB Unlocked Good Condition - All Colors,$289.99,2025-09-16,https://www.ebay.com/itm/276217816345,https://i.ebayimg.com/images/g/WfMAAOSwa19lczD9/s-l500.webp,256 GB,Good,False,iPhone 12 Pro,True,,,,,
3,Apple iPhone 12 Pro 128GB Factory Unlocked Pacific Blue NGK43LL/A iOS Smarphone,$269.00,2025-09-16,https://www.ebay.com/itm/306494554894,https://i.ebayimg.com/images/g/VsoAAeSwMKdow5rO/s-l500.webp,128 GB,Unknown,False,iPhone 12 Pro,True,,,,,
3,Apple iPhone 12 Pro - 128GB Pacific Blue Factory Unlocked - GOOD Condition,$299.99,2025-09-15,https://www.ebay.com/itm/306500265185,https://i.ebayimg.com/images/g/brwAAeSwFC9oyIqy/s-l500.webp,128 GB,Unknown,False,iPhone 12 Pro,True,,,,,
3,Apple iPhone 12 Pro 128GB 256GB A2341 (Unlocked) All Colors Refurbished- GOOD,$289.99,2025-09-15,https://www.ebay.com/itm/177238864857,https://i.ebayimg.com/images/g/W78AAeSwSQhoZZoI/s-l500.webp,128 GB,Unknown,False,iPhone 12 Pro,True,,,,,
3,"Apple iPhone 12 Pro - Fully Unlocked - 6.1"" - 256GB - Very Good",$315.00,2025-09-13,https://www.ebay.com/itm/165760369605,https://i.ebayimg.com/images/g/IcAAAeSwTXVo5QoU/s-l500.webp,256 GB,Very Good,False,iPhone 12 Pro,True,,,,,
3,Apple iPhone 12 Pro - 128 GB - Silver - Unlocked - Good Refurbished,$268.99,2025-09-12,https://www.ebay.com/itm/127114335958,https://i.ebayimg.com/images/g/xNwAAOSwJ2hjDzmR/s-l500.webp,128 GB,Good,False,iPhone 12 Pro,True,,,,,
